id,time_context,location,business_behavior,user_intent,category,confidence,tone,cta_type,urgency_level,created_at
48eefe55-77a3-4e2b-be73-a6b750369731,weekday morning,"Orrland, Sao Tome and Principe","SaaS startup, growth stage",build partnerships with agencies,product_launch,0.66,persuasive,download_resource,medium,2026-02-18T10:32:38
e72de444-8ec7-4cad-94fe-81f77546fe93,Monday 9am,"East Williamborough, Greenland","SaaS startup, growth stage",re-engage cold prospects,content_distribution,0.83,formal,start_trial,high,2026-02-18T10:30:42
2661e4e1-8ca9-4599-970e-3dd63a75afa6,weekday morning,"Melodyhaven, Namibia","Mid-market, scaling fast",promote new feature launch,product_launch,0.92,data_driven,visit_website,low,2026-02-18T10:31:33
c2e8ec06-8d1a-4d6f-aa3c-70f244a6a007,weekday morning,"New Gary, Saint Barthelemy","SMB, service-based",promote new feature launch,partnership_outreach,0.97,data_driven,download_resource,low,2026-02-18T10:32:36
1cf80594-4d17-4929-86f4-eb7a894df3ad,Monday 9am,"Kyleshire, Rwanda","SMB, service-based",generate enterprise leads,event_promotion,0.71,formal,schedule_call,low,2026-02-18T10:30:42
a6e3cd5f-de58-411b-856b-91a370d25950,Friday afternoon,"Steveshire, Saint Martin","SaaS startup, growth stage",promote new feature launch,partnership_outreach,0.94,data_driven,book_demo,medium,2026-02-18T10:30:23
2b8e7a2d-66d0-41f7-b07a-5f9499a767bf,weekday morning,"Jesusmouth, Brunei Darussalam","SaaS startup, growth stage",recruit senior engineers,partnership_outreach,0.79,persuasive,start_trial,medium,2026-02-18T10:32:34
8d6c96bd-76a4-4eb8-9353-bb7ac657cd8b,Friday afternoon,"New Michael, Bermuda","SMB, service-based",recruit senior engineers,B2B_lead_gen,0.68,conversational,start_trial,medium,2026-02-18T10:31:55
decf0f2e-e9a4-4755-b182-5b9c7787ad4d,Friday afternoon,"Lewiston, Svalbard & Jan Mayen Islands","SaaS startup, growth stage",re-engage cold prospects,recruitment,0.87,formal,download_resource,low,2026-02-18T10:32:35
8a77c3fe-53a8-4315-8aed-1bfbb6e668ee,Monday 9am,"Jessicaberg, Palestinian Territory","SaaS startup, growth stage",re-engage cold prospects,partnership_outreach,0.72,formal,visit_website,medium,2026-02-18T10:31:51
a4b54146-0674-41c1-8447-46a0b76c7031,weekday morning,"Smithside, Equatorial Guinea","Mid-market, scaling fast",recruit senior engineers,B2C_marketing,0.86,data_driven,download_resource,medium,2026-02-18T10:32:21
5816a500-d45b-4430-8504-b451e82eb861,Friday afternoon,"Briggshaven, San Marino","Mid-market, scaling fast",recruit senior engineers,B2C_marketing,0.76,formal,visit_website,medium,2026-02-18T10:31:56
77d664dc-86d9-4656-9bd8-7bd8c221a150,Monday 9am,"Normanberg, Nauru","Enterprise, mature market",re-engage cold prospects,B2C_marketing,0.95,persuasive,start_trial,medium,2026-02-18T10:30:53
b111c776-11c8-4278-80d1-402b563706e1,Monday 9am,"Kimside, Panama","SaaS startup, growth stage",generate enterprise leads,event_promotion,0.68,persuasive,download_resource,high,2026-02-18T10:30:58
9b0e2535-2aaa-4028-a1f1-c077bf01819b,Monday 9am,"New Rebecca, Saint Barthelemy","SMB, service-based",promote new feature launch,product_launch,0.96,data_driven,visit_website,high,2026-02-18T10:32:28
52c9cbc5-9a95-46a9-be0b-f29c6f0805f2,Friday afternoon,"Port Kathrynhaven, Cuba","SMB, service-based",promote new feature launch,content_distribution,0.74,formal,schedule_call,high,2026-02-18T10:30:50
42634d32-ffe7-4b69-93c8-abca8506a511,Friday afternoon,"West Jason, Jordan","Mid-market, scaling fast",generate enterprise leads,B2C_marketing,0.74,conversational,schedule_call,high,2026-02-18T10:32:21
8d314cc0-0abd-4149-868c-e3e6ab323b46,weekday morning,"Ronaldport, Pitcairn Islands","Enterprise, mature market",re-engage cold prospects,B2C_marketing,0.85,conversational,visit_website,medium,2026-02-18T10:31:59
faa378cd-d286-44a7-a348-3b68b3d00c7e,Friday afternoon,"Knoxfort, Macao","Enterprise, mature market",re-engage cold prospects,B2B_reengagement,0.76,persuasive,visit_website,medium,2026-02-18T10:30:15
a7eb75c2-566c-4dc6-ba69-5e90285c8cdb,weekday morning,"Ramirezside, Cyprus","SaaS startup, growth stage",promote new feature launch,B2B_lead_gen,0.95,persuasive,visit_website,medium,2026-02-18T10:32:13
b8296154-cf6f-4499-b70f-66b2d00eefd8,Friday afternoon,"Jessicashire, Greece","Enterprise, mature market",build partnerships with agencies,B2B_reengagement,0.8,formal,schedule_call,medium,2026-02-18T10:32:38
6a15a901-aeea-432f-8217-47e3971eb5d7,weekday morning,"Cookland, Djibouti","Enterprise, mature market",re-engage cold prospects,B2B_lead_gen,0.75,data_driven,schedule_call,low,2026-02-18T10:31:42
ff4ee192-e634-476d-9103-b4ab54e08468,weekday morning,"North Sharon, Gibraltar","SaaS startup, growth stage",promote new feature launch,product_launch,0.84,data_driven,schedule_call,low,2026-02-18T10:31:39
b40977fe-cd20-41f1-becd-1333f4f763fe,weekday morning,"Carolburgh, Uzbekistan","Mid-market, scaling fast",generate enterprise leads,recruitment,0.72,persuasive,download_resource,high,2026-02-18T10:32:19
ed3e9edb-25fb-4f78-a201-8bbc2c4008b1,weekday morning,"Hillmouth, Falkland Islands (Malvinas)","SaaS startup, growth stage",re-engage cold prospects,B2C_marketing,0.82,conversational,visit_website,medium,2026-02-18T10:30:33
5f5a4a5f-e99d-4b62-b97a-3e603363c48b,weekday morning,"Lake Daisyhaven, Hungary","Enterprise, mature market",re-engage cold prospects,B2B_lead_gen,0.79,formal,book_demo,low,2026-02-18T10:33:06
